Date,Store listing conversion rate,Peers' median (Business),25th percentile (Business),75th percentile (Business),Notes
"Aug 9, 2024",1,56.48%,37.5%,71.48%,
"Aug 10, 2024",1,52.05%,33.33%,68.67%,
"Aug 11, 2024",1,52.76%,34.38%,68.59%,
"Aug 12, 2024",0.5,58.25%,38.9%,72.55%,
"Aug 13, 2024",-,58.72%,39.51%,72.88%,
"Aug 14, 2024",-,58.4%,39.02%,73.16%,
"Aug 15, 2024",-,56.67%,37.7%,71.62%,
"Aug 16, 2024",-,56.25%,37.27%,71.43%,
"Aug 17, 2024",-,51.98%,33.49%,67.98%,
"Aug 18, 2024",1,52.99%,34.67%,68.75%,
"Aug 19, 2024",-,57.89%,38.79%,72.6%,
"Aug 20, 2024",-,58.37%,39.64%,73.17%,
"Aug 21, 2024",-,58.33%,39.39%,72.66%,
"Aug 22, 2024",1,57.24%,38.89%,71.74%,
"Aug 23, 2024",-,55.92%,37.26%,71.05%,
"Aug 24, 2024",-,51.04%,33.33%,66.79%,
"Aug 25, 2024",-,52.63%,34.78%,68.29%,
"Aug 26, 2024",-,57.14%,38.74%,71.79%,
"Aug 27, 2024",-,58.33%,39.68%,72.73%,
"Aug 28, 2024",0.8,57.56%,39.39%,71.91%,
"Aug 29, 2024",1,57.51%,39.26%,71.72%,
"Aug 30, 2024",1,56.18%,37.8%,71.43%,
"Aug 31, 2024",1,52.08%,34.11%,67.74%,
"Sep 1, 2024",-,53.33%,35.58%,68.75%,
"Sep 2, 2024",1,57.5%,38.85%,71.88%,
"Sep 3, 2024",1,57.58%,38.89%,71.94%,
